pupil_ref,stream,term,tutor_group,attendance_pct,coursework,exam_mark,resit
P0067,Arts,Spring,TG-D,99.5,74.9,55.6,False
P0068,Vocational,Spring,TG-C,88.1,86.7,61.1,False
P0069,Science,Summer,TG-F,84.5,51.2,47.7,False
P0070,Vocational,Summer,TG-B,90.6,78.8,75.3,False
P0071,Science,Spring,TG-E,70.9,52.8,33.0,True
P0072,Science,Summer,TG-E,85.9,82.5,62.8,False
P0073,Science,Autumn,TG-C,77.5,,61.3,False
P0074,Science,Summer,TG-D,100.0,,85.6,False
P0075,Arts,Autumn,TG-E,91.8,69.7,74.2,False
P0076,Arts,Summer,TG-F,87.1,73.5,63.2,False
P0077,Vocational,Spring,TG-D,84.4,54.5,59.7,False
P0078,Science,Autumn,TG-C,65.9,49.2,46.9,False
P0079,Science,Spring,TG-E,91.7,79.3,76.8,False
P0080,Science,Spring,TG-C,99.0,58.3,59.6,False
P0081,Vocational,Autumn,TG-F,80.2,43.1,62.5,False
P0082,Vocational,Summer,TG-D,91.5,56.7,61.9,False
P0083,Science,Autumn,TG-E,91.8,73.6,66.1,False
P0084,Science,Spring,TG-D,73.6,52.3,49.1,False
P0085,Science,Summer,TG-E,93.5,89.3,89.8,False
P0086,Arts,Summer,TG-A,96.8,66.9,58.3,False
P0087,Science,Spring,TG-E,87.8,75.2,63.8,False
P0088,Science,Autumn,TG-B,85.5,75.9,62.7,False
P0089,Science,Autumn,TG-B,92.3,65.8,70.8,False
P0090,Science,Spring,TG-B,73.7,,57.8,False
P0091,Vocational,Spring,TG-A,86.7,65.5,65.3,False
P0092,Arts,Spring,TG-B,94.4,70.8,76.6,False
P0093,Arts,Spring,TG-A,76.1,23.1,35.7,True
P0094,Arts,Spring,TG-C,93.9,67.3,64.6,False
P0095,Arts,Spring,TG-C,82.7,37.2,43.0,False
P0096,Arts,Autumn,TG-A,69.4,80.1,52.6,False
P0097,Vocational,Spring,TG-F,85.2,47.8,45.1,False
P0098,Science,Summer,TG-A,78.2,44.8,43.5,False
P0099,Arts,Autumn,TG-C,88.6,60.0,60.6,False
P0100,Science,Spring,TG-B,76.6,95.3,70.9,False
P0101,Science,Summer,TG-F,94.4,65.2,71.7,False
P0102,Arts,Autumn,TG-E,80.1,61.8,59.8,False
P0103,Vocational,Spring,TG-B,88.9,73.7,78.3,False
P0104,Arts,Autumn,TG-C,81.2,47.9,45.5,False
P0105,Science,Summer,TG-A,83.4,,33.1,True
P0106,Science,Spring,TG-E,95.5,76.3,60.4,False
P0107,Science,Autumn,TG-C,87.7,45.6,57.4,False
P0108,Vocational,Spring,TG-C,82.8,76.3,72.7,False
P0109,Science,Spring,TG-F,76.0,100.0,79.4,False
P0110,Science,Spring,TG-F,95.3,,49.4,False
P0111,Science,Spring,TG-F,91.9,94.9,93.0,False
P0112,Science,Spring,TG-F,83.4,71.1,77.0,False
P0113,Vocational,Spring,TG-D,87.9,46.0,71.0,False
P0114,Arts,Summer,TG-E,77.8,62.0,59.3,False
P0115,Science,Summer,TG-C,77.9,100.0,84.0,False
P0116,Arts,Autumn,TG-F,79.4,55.5,56.8,False
P0117,Science,Autumn,TG-E,88.8,,55.8,False
P0118,Arts,Autumn,TG-C,88.4,69.6,62.9,False
P0119,Science,Spring,TG-C,80.0,,39.7,True
P0120,Science,Spring,TG-A,91.9,83.8,69.0,False
P0121,Science,Autumn,TG-B,92.3,76.0,62.2,False
P0122,Arts,Summer,TG-F,87.4,65.4,64.6,False
P0123,Arts,Spring,TG-E,94.3,77.3,69.1,False
P0124,Science,Summer,TG-B,83.7,29.7,45.7,False
P0125,Arts,Spring,TG-A,85.1,91.1,75.0,False
P0126,Science,Autumn,TG-D,89.8,55.8,49.9,False
P0127,Science,Autumn,TG-E,85.7,86.0,70.2,False
P0128,Science,Spring,TG-B,92.4,60.0,44.5,False
P0129,Science,Autumn,TG-F,76.0,58.9,58.2,False
P0130,Vocational,Spring,TG-D,97.4,59.0,56.8,False
P0131,Science,Spring,TG-A,79.7,50.7,56.5,False
P0132,Science,Summer,TG-F,84.7,32.3,51.2,False
P0133,Arts,Spring,TG-E,75.0,,27.0,True
P0134,Vocational,Summer,TG-D,90.8,54.8,49.3,False
P0135,Vocational,Autumn,TG-A,96.2,58.6,66.7,False
P0136,Arts,Summer,TG-A,94.6,84.0,72.4,False
P0137,Science,Spring,TG-A,92.7,51.1,46.2,False
P0138,Vocational,Spring,TG-A,73.5,35.6,26.8,True
P0139,Arts,Summer,TG-B,79.7,40.8,45.5,False
P0140,Science,Summer,TG-A,82.3,,55.0,False
P0141,Arts,Autumn,TG-F,78.5,60.1,47.7,False
P0142,Science,Autumn,TG-C,95.0,66.0,55.5,False
P0143,Vocational,Autumn,TG-A,87.5,73.5,70.9,False
P0144,Arts,Summer,TG-E,85.8,70.5,71.3,False
P0145,Vocational,Autumn,TG-C,89.9,,71.0,False
P0146,Arts,Autumn,TG-D,78.4,46.3,44.0,False
P0147,Science,Summer,TG-C,78.7,54.5,56.3,False
P0148,Arts,Spring,TG-E,78.9,34.9,53.2,False
P0149,Science,Spring,TG-B,90.0,57.5,45.1,False
P0150,Science,Spring,TG-B,88.7,59.4,72.0,False
P0151,Science,Autumn,TG-F,90.6,63.8,63.6,False
P0152,Arts,Summer,TG-E,94.6,59.5,59.1,False
P0153,Science,Autumn,TG-B,75.1,77.0,70.3,False
P0154,Arts,Autumn,TG-B,81.5,52.4,66.3,False
P0155,Arts,Summer,TG-F,87.2,87.9,70.8,False
P0156,Science,Autumn,TG-C,75.2,78.7,67.7,False
P0157,Arts,Summer,TG-D,81.7,78.1,65.8,False
P0158,Science,Spring,TG-D,94.1,67.3,49.5,False
P0159,Arts,Summer,TG-E,94.8,55.5,60.4,False
P0160,Science,Summer,TG-B,94.6,46.4,77.0,False
P0161,Arts,Autumn,TG-E,86.3,58.2,50.7,False
P0162,Science,Autumn,TG-F,84.3,77.5,59.2,False
P0163,Arts,Summer,TG-E,94.6,86.4,69.7,False
P0164,Arts,Autumn,TG-B,83.0,73.3,75.3,False
P0165,Arts,Autumn,TG-E,88.7,79.9,77.0,False
P0166,Science,Autumn,TG-A,96.6,84.0,76.9,False
P0167,Vocational,Spring,TG-F,83.1,39.8,55.8,False
P0168,Science,Summer,TG-E,81.1,64.4,67.8,False
P0169,Science,Autumn,TG-A,85.9,62.9,66.0,False
P0170,Arts,Summer,TG-D,90.8,82.0,60.7,False
P0171,Science,Summer,TG-A,89.9,75.2,78.4,False
P0172,Science,Spring,TG-B,87.2,87.6,66.4,False
P0173,Arts,Spring,TG-C,90.5,57.5,53.4,False
P0174,Arts,Spring,TG-D,73.2,52.8,67.3,False
P0175,Arts,Spring,TG-A,79.1,81.0,52.6,False
P0176,Vocational,Spring,TG-F,87.3,61.0,67.7,False
P0177,Arts,Spring,TG-D,78.6,47.8,37.0,True
P0178,Science,Autumn,TG-E,75.3,75.9,53.1,False
P0179,Arts,Summer,TG-F,76.3,40.7,42.6,False
P0180,Science,Autumn,TG-D,78.7,34.2,43.7,False
P0181,Arts,Spring,TG-D,84.6,51.5,36.0,True
P0182,Science,Spring,TG-D,77.8,85.2,80.5,False
P0183,Science,Spring,TG-B,87.9,49.6,59.1,False
P0184,Vocational,Summer,TG-A,99.6,,70.7,False
P0185,Arts,Autumn,TG-A,84.8,72.0,72.3,False
P0186,Arts,Autumn,TG-D,96.2,79.0,64.4,False
P0187,Arts,Summer,TG-D,88.3,68.1,67.3,False
P0188,Arts,Summer,TG-F,77.0,49.2,38.0,True
P0189,Science,Autumn,TG-E,83.9,83.0,60.8,False
P0190,Arts,Summer,TG-B,78.1,68.0,50.0,False
P0191,Science,Summer,TG-E,92.1,89.2,69.4,False
P0192,Arts,Spring,TG-E,76.8,74.0,56.4,False
P0193,Vocational,Summer,TG-E,96.6,35.7,49.4,False
P0194,Arts,Summer,TG-D,90.6,57.7,40.2,False
P0195,Vocational,Spring,TG-C,69.8,45.4,37.8,True
P0196,Arts,Summer,TG-D,92.3,74.9,72.3,False
P0197,Vocational,Autumn,TG-F,98.4,64.3,72.2,False
P0198,Science,Autumn,TG-E,79.7,47.3,60.8,False
P0199,Vocational,Autumn,TG-D,93.9,32.0,40.2,False
P0200,Science,Summer,TG-A,71.6,,18.8,True
P0201,Science,Autumn,TG-E,88.0,44.5,53.4,False
P0202,Arts,Spring,TG-B,72.7,42.7,47.7,False
P0203,Arts,Summer,TG-A,89.9,52.0,54.8,False
P0204,Science,Spring,TG-E,71.7,66.7,55.4,False
P0205,Vocational,Spring,TG-C,64.9,45.8,45.0,False
P0206,Science,Autumn,TG-F,89.2,49.8,47.4,False
P0207,Arts,Summer,TG-A,100.0,76.1,57.5,False
P0208,Science,Autumn,TG-F,81.2,59.0,58.5,False
P0209,Arts,Spring,TG-B,92.6,75.1,64.5,False
P0210,Arts,Summer,TG-F,86.9,51.7,59.3,False
P0211,Science,Autumn,TG-B,83.4,92.9,85.3,False
P0212,Arts,Summer,TG-B,90.9,64.7,59.4,False
P0213,Vocational,Summer,TG-D,99.1,74.8,68.9,False
P0214,Science,Summer,TG-D,76.1,40.6,41.7,False
P0215,Science,Summer,TG-A,90.5,50.7,58.0,False
P0216,Science,Summer,TG-E,88.8,68.3,67.6,False
P0217,Arts,Spring,TG-E,74.6,58.5,59.6,False
P0218,Vocational,Spring,TG-F,98.9,80.9,65.5,False
P0219,Science,Autumn,TG-C,100.0,86.8,72.8,False
P0220,Vocational,Spring,TG-D,78.4,46.5,55.7,False
P0221,Arts,Autumn,TG-B,99.9,56.3,45.4,False
P0222,Science,Spring,TG-F,86.4,19.2,20.5,True
P0223,Science,Summer,TG-F,84.7,95.6,86.6,False
P0224,Science,Spring,TG-F,98.0,75.5,76.8,False
P0225,Arts,Summer,TG-D,87.8,47.8,60.0,False
P0226,Arts,Autumn,TG-C,88.6,55.5,40.3,False
P0227,Science,Summer,TG-C,98.1,60.6,51.6,False
P0228,Science,Autumn,TG-D,96.3,72.6,82.1,False
P0229,Vocational,Spring,TG-A,93.1,13.6,30.4,True
P0230,Arts,Summer,TG-B,74.8,47.1,49.0,False
P0231,Science,Summer,TG-C,73.4,53.5,62.5,False
P0232,Science,Autumn,TG-E,95.0,66.7,66.7,False
P0233,Arts,Summer,TG-E,78.6,75.0,64.2,False
P0234,Vocational,Summer,TG-D,87.2,78.9,58.7,False
P0235,Science,Spring,TG-D,77.4,83.3,83.2,False
P0236,Science,Autumn,TG-F,84.5,,46.4,False
P0237,Science,Summer,TG-B,75.8,53.9,37.1,True
P0238,Arts,Spring,TG-D,99.0,69.9,70.7,False
P0239,Science,Autumn,TG-A,77.8,57.5,71.8,False
P0240,Science,Spring,TG-E,85.0,71.7,58.3,False
P0241,Science,Autumn,TG-B,84.5,82.0,71.3,False
P0242,Science,Spring,TG-D,95.6,88.9,59.0,False
P0243,Arts,Autumn,TG-E,74.6,58.2,38.5,True
P0244,Arts,Summer,TG-A,85.7,,76.2,False
P0245,Science,Spring,TG-A,84.3,100.0,77.4,False
P0246,Science,Spring,TG-E,90.2,73.0,80.5,False
P0247,Arts,Summer,TG-F,89.8,,56.6,False
P0248,Vocational,Spring,TG-D,82.3,44.5,43.5,False
P0249,Vocational,Summer,TG-E,87.9,69.9,46.7,False
P0250,Science,Spring,TG-A,83.0,65.4,55.1,False
P0251,Vocational,Summer,TG-C,89.7,39.2,68.8,False
P0252,Vocational,Spring,TG-F,85.2,84.3,65.2,False
P0253,Science,Summer,TG-B,80.8,33.4,39.3,True
P0254,Arts,Spring,TG-E,85.8,74.4,61.8,False
P0255,Science,Spring,TG-C,88.9,60.4,61.6,False
P0256,Science,Summer,TG-F,100.0,75.9,69.1,False
P0257,Arts,Summer,TG-F,82.1,68.1,57.0,False
P0258,Science,Spring,TG-B,88.5,65.0,58.7,False
P0259,Arts,Summer,TG-A,97.7,67.3,73.7,False
P0260,Vocational,Spring,TG-F,69.4,70.7,51.2,False
P0261,Vocational,Autumn,TG-B,72.1,62.5,54.0,False
P0262,Science,Summer,TG-C,76.5,49.6,45.6,False
P0263,Science,Spring,TG-A,85.1,,63.8,False
P0264,Vocational,Summer,TG-C,100.0,64.8,66.5,False
P0265,Vocational,Autumn,TG-E,89.1,61.0,36.1,True
P0266,Vocational,Summer,TG-A,95.7,77.9,71.2,False
P0267,Arts,Autumn,TG-F,84.2,63.5,55.3,False
P0268,Arts,Spring,TG-B,66.3,66.9,58.9,False
P0269,Science,Summer,TG-D,67.5,40.8,46.6,False
P0270,Science,Spring,TG-D,94.1,54.6,63.3,False
P0271,Science,Spring,TG-B,87.5,69.6,63.0,False
P0272,Arts,Autumn,TG-A,75.6,61.3,53.2,False
P0273,Science,Summer,TG-F,94.9,78.6,59.6,False
P0274,Arts,Spring,TG-D,73.7,39.9,30.7,True
P0275,Arts,Spring,TG-D,95.1,79.4,87.2,False
P0276,Science,Autumn,TG-A,97.6,57.6,47.6,False
P0277,Vocational,Autumn,TG-F,79.9,65.1,51.8,False
P0278,Science,Summer,TG-E,77.1,,62.1,False
P0279,Arts,Spring,TG-C,92.8,76.1,68.2,False
P0280,Science,Summer,TG-C,77.2,51.9,61.1,False
P0281,Vocational,Summer,TG-A,92.9,90.0,73.0,False
P0282,Arts,Autumn,TG-F,76.4,65.2,69.0,False
P0283,Science,Autumn,TG-A,92.5,77.6,67.1,False
P0284,Science,Summer,TG-E,86.8,81.9,95.0,False
P0285,Arts,Autumn,TG-B,82.5,57.9,45.3,False
P0286,Science,Summer,TG-E,78.8,53.6,58.0,False
P0287,Science,Autumn,TG-C,87.9,72.5,56.4,False
P0288,Science,Autumn,TG-F,70.9,67.6,44.0,False
P0289,Science,Spring,TG-E,83.8,78.8,61.7,False
P0290,Arts,Summer,TG-F,82.8,66.6,75.2,False
P0291,Arts,Summer,TG-C,91.4,48.1,54.3,False
P0292,Vocational,Autumn,TG-A,76.0,39.7,45.1,False
P0293,Vocational,Autumn,TG-B,99.7,,76.5,False
P0294,Vocational,Autumn,TG-C,83.5,72.6,64.6,False
P0295,Arts,Summer,TG-F,76.9,83.5,77.6,False
P0296,Arts,Spring,TG-B,97.1,86.2,78.6,False
P0297,Arts,Spring,TG-D,99.3,80.9,70.3,False
P0298,Science,Spring,TG-E,84.5,66.1,54.7,False
P0299,Science,Autumn,TG-D,78.9,80.7,57.9,False
P0300,Science,Autumn,TG-C,86.1,61.2,57.6,False
P0301,Arts,Summer,TG-E,80.5,46.3,39.9,True
P0302,Science,Autumn,TG-A,83.5,42.0,58.2,False
P0303,Science,Summer,TG-E,98.5,54.6,65.0,False
P0304,Arts,Summer,TG-E,89.1,55.2,58.7,False
P0305,Arts,Summer,TG-B,87.2,46.3,55.2,False
P0306,Science,Summer,TG-B,88.8,88.2,81.6,False
P0307,Science,Spring,TG-F,85.5,83.3,67.7,False
P0308,Arts,Spring,TG-B,92.7,74.2,74.9,False
P0309,Science,Spring,TG-A,93.0,55.3,56.5,False
P0310,Science,Autumn,TG-E,83.0,44.0,45.5,False
P0311,Arts,Spring,TG-A,86.8,62.2,56.7,False
P0312,Arts,Autumn,TG-F,100.0,69.0,70.9,False
P0313,Vocational,Summer,TG-D,89.4,66.3,57.5,False
P0314,Science,Summer,TG-C,84.5,63.8,56.4,False
P0315,Arts,Spring,TG-D,100.0,,79.5,False
P0316,Science,Spring,TG-D,86.1,75.8,63.3,False
P0317,Science,Autumn,TG-B,77.2,46.9,42.5,False
P0318,Arts,Summer,TG-A,91.4,63.3,57.7,False
P0319,Science,Spring,TG-E,78.8,70.8,47.4,False
P0320,Science,Autumn,TG-A,82.0,62.9,59.4,False
P0321,Science,Autumn,TG-A,88.6,,47.2,False
P0322,Science,Spring,TG-A,85.0,61.5,56.9,False
P0323,Science,Summer,TG-C,79.9,63.3,64.3,False
P0324,Arts,Summer,TG-B,81.6,56.3,57.3,False
P0325,Vocational,Spring,TG-F,81.3,40.8,45.8,False
P0326,Science,Spring,TG-B,95.3,61.9,57.8,False
P0327,Science,Spring,TG-F,80.2,54.9,57.6,False
P0328,Arts,Spring,TG-A,81.4,61.9,62.6,False
P0329,Science,Spring,TG-D,100.0,95.4,78.0,False
P0330,Science,Summer,TG-A,81.6,57.7,55.2,False
P0331,Science,Summer,TG-E,97.9,67.4,50.9,False
P0332,Science,Autumn,TG-E,96.5,89.9,83.0,False
P0333,Science,Summer,TG-D,84.8,76.0,62.5,False
P0334,Arts,Autumn,TG-D,74.6,54.9,57.6,False
P0335,Arts,Spring,TG-B,89.6,71.0,65.4,False
P0336,Arts,Autumn,TG-E,91.4,83.4,50.4,False
P0337,Vocational,Autumn,TG-F,93.7,73.5,60.4,False
P0338,Science,Spring,TG-E,86.6,78.0,63.0,False
P0339,Arts,Autumn,TG-D,95.6,84.3,77.8,False
P0340,Science,Autumn,TG-D,97.1,80.4,67.0,False
P0341,Science,Spring,TG-D,77.6,8.3,17.1,True
P0342,Vocational,Autumn,TG-D,97.4,58.1,63.5,False
P0343,Arts,Summer,TG-F,87.4,73.4,64.7,False
P0344,Vocational,Spring,TG-F,81.5,85.4,72.4,False
P0345,Vocational,Autumn,TG-D,83.5,66.0,66.6,False
P0346,Vocational,Spring,TG-E,100.0,99.8,97.9,False
P0347,Science,Spring,TG-B,93.9,81.3,81.4,False
P0348,Science,Autumn,TG-F,71.7,69.1,67.2,False
P0349,Science,Summer,TG-C,86.7,62.0,71.3,False
P0350,Science,Summer,TG-C,84.9,,42.4,False
P0351,Arts,Spring,TG-D,84.6,71.9,68.9,False
P0352,Science,Autumn,TG-A,81.9,49.1,64.3,False
P0353,Arts,Spring,TG-F,74.3,39.4,46.3,False
P0354,Arts,Autumn,TG-E,92.9,67.4,70.8,False
P0355,Science,Spring,TG-F,78.5,52.4,60.1,False
P0356,Arts,Autumn,TG-C,83.0,58.7,52.2,False
P0357,Science,Spring,TG-C,81.2,54.1,55.2,False
P0358,Science,Summer,TG-C,80.2,55.9,53.0,False
P0359,Arts,Spring,TG-C,91.9,58.6,65.9,False
P0360,Arts,Spring,TG-D,89.1,,56.4,False
P0361,Science,Autumn,TG-A,80.6,72.3,62.9,False
P0362,Science,Spring,TG-F,78.4,,32.0,True
P0363,Vocational,Summer,TG-D,82.2,52.5,53.9,False
P0364,Science,Spring,TG-D,93.7,51.8,44.0,False
P0365,Science,Spring,TG-E,87.0,60.2,54.4,False
P0366,Science,Autumn,TG-F,87.9,72.4,66.9,False
P0367,Science,Autumn,TG-B,83.4,79.6,58.3,False
P0368,Vocational,Spring,TG-E,83.9,56.3,57.0,False
P0369,Science,Summer,TG-D,87.7,69.7,61.4,False
P0370,Vocational,Spring,TG-D,71.3,77.9,69.6,False
P0371,Science,Spring,TG-A,98.9,55.2,54.1,False
P0372,Science,Summer,TG-A,79.7,57.4,66.5,False
P0373,Arts,Summer,TG-F,81.5,50.0,38.7,True
P0374,Science,Autumn,TG-E,96.7,66.9,60.4,False
P0375,Science,Autumn,TG-E,87.8,66.8,62.6,False
P0376,Science,Autumn,TG-E,86.3,53.5,49.6,False
P0377,Science,Spring,TG-F,81.3,63.1,59.2,False
P0378,Science,Summer,TG-D,73.5,54.6,60.8,False
P0379,Science,Autumn,TG-B,87.5,53.0,46.2,False
P0380,Vocational,Autumn,TG-C,95.6,48.1,64.4,False
P0381,Science,Autumn,TG-B,78.8,,50.8,False
P0382,Science,Autumn,TG-E,96.9,30.0,42.9,False
P0383,Arts,Autumn,TG-D,77.0,51.7,52.0,False
P0384,Vocational,Summer,TG-E,80.1,57.9,46.5,False
P0385,Science,Autumn,TG-A,90.0,78.8,78.1,False
P0386,Science,Summer,TG-D,86.0,47.3,49.1,False
P0387,Arts,Summer,TG-E,91.5,92.4,83.3,False
P0388,Arts,Summer,TG-F,80.1,50.2,49.7,False
P0389,Arts,Spring,TG-B,77.7,76.9,77.9,False
P0390,Science,Autumn,TG-F,71.1,56.2,57.1,False
P0391,Science,Spring,TG-A,76.4,79.4,59.3,False
P0392,Arts,Autumn,TG-F,77.4,74.8,64.1,False
P0393,Arts,Spring,TG-A,74.6,,63.6,False
P0394,Vocational,Spring,TG-B,88.5,68.2,77.9,False
P0395,Arts,Autumn,TG-E,80.7,,77.2,False
P0396,Science,Autumn,TG-A,70.1,35.1,45.9,False
P0397,Science,Spring,TG-A,100.0,61.7,53.0,False
P0398,Vocational,Spring,TG-F,79.3,14.6,23.5,True
P0399,Arts,Spring,TG-C,76.0,,49.0,False
