job_ref,booked_on,released_on,depot,fault_class,labour_hours,parts_cost,total_billed,warranty
J00114,2024-01-24,2024-03-13,Riverside,Diagnostics,3.33,442.71,649.17,False
J00115,2023-09-04,2023-09-07,Northgate,Hydraulic,5.27,149.57,476.31,True
J00116,2023-03-06,2023-04-07,Eastfield,Hydraulic,7.32,36.06,489.9,True
J00117,2023-06-23,2023-07-14,Riverside,Bodywork,7.99,56.65,552.03,False
J00118,2023-01-29,2023-02-22,Eastfield,Diagnostics,2.04,113.49,239.97,False
J00119,2023-10-06,2023-10-12,Kingsway,Diagnostics,7.41,149.08,608.5,False
J00120,2023-09-21,2023-09-30,Riverside,Bodywork,5.61,199.04,546.86,False
J00121,2024-10-20,2024-11-06,Eastfield,Hydraulic,3.52,231.65,449.89,False
J00122,2023-05-05,2023-05-20,Riverside,Electrical,8.28,165.56,678.92,True
J00123,2024-02-13,2024-03-06,Riverside,Transmission,2.13,370.32,502.38,True
J00124,2024-03-08,2024-03-20,Northgate,Electrical,6.79,33.84,454.82,False
J00125,2024-01-02,2024-01-21,Riverside,Hydraulic,4.11,112.31,367.13,False
J00126,2023-12-26,2024-01-06,Riverside,Bodywork,4.25,83.0,346.5,True
J00127,2024-07-20,2024-07-22,Kingsway,Hydraulic,3.2,215.63,414.03,True
J00128,2024-09-23,2024-10-03,Northgate,Electrical,4.16,52.69,310.61,True
J00129,2023-12-23,2024-01-07,Riverside,Diagnostics,4.41,245.64,519.06,False
J00130,2023-09-14,2023-10-06,Eastfield,Hydraulic,6.53,376.67,781.53,False
J00131,2023-03-24,2023-03-29,Eastfield,Bodywork,3.29,410.14,614.12,True
J00132,2023-10-04,2023-10-07,Eastfield,Diagnostics,2.5,298.2,453.2,False
J00133,2023-04-06,2023-04-27,Eastfield,Electrical,6.9,212.56,640.36,True
J00134,2023-11-28,2023-12-12,Kingsway,Diagnostics,5.87,145.05,508.99,False
J00135,2024-05-21,2024-05-27,Northgate,Electrical,4.16,86.1,344.02,False
J00136,2024-08-30,2024-09-12,Northgate,Diagnostics,3.42,64.64,276.68,True
J00137,2023-11-27,2023-12-03,Northgate,Bodywork,18.09,92.75,1214.33,False
J00138,2024-07-26,2024-08-20,Riverside,Transmission,4.9,198.36,502.16,False
J00139,2023-05-31,2023-06-09,Eastfield,Diagnostics,3.02,65.48,252.72,False
J00140,2023-12-21,2023-12-26,Riverside,Hydraulic,5.88,128.87,493.43,False
J00141,2024-11-11,2024-11-25,Northgate,Diagnostics,5.37,184.1,517.04,False
J00142,2023-09-29,2023-10-09,Kingsway,Transmission,8.68,151.73,689.89,False
J00143,2023-07-13,2023-08-05,Kingsway,Diagnostics,8.82,107.23,654.07,False
J00144,2023-01-06,2023-01-19,Eastfield,Hydraulic,4.44,105.95,381.23,False
J00145,2024-07-05,2024-07-10,Kingsway,Electrical,7.85,98.93,585.63,False
J00146,2023-07-14,2023-07-17,Riverside,Bodywork,8.96,164.36,719.88,True
J00147,2023-08-14,2023-09-05,Kingsway,Diagnostics,5.85,294.77,657.47,False
J00148,2024-01-28,2024-02-20,Riverside,Transmission,9.68,183.27,783.43,True
J00149,2024-06-10,2024-06-21,Northgate,Transmission,0.66,193.29,234.21,False
J00150,2023-11-04,2023-11-29,Northgate,Electrical,3.83,136.46,373.92,True
J00151,2024-01-09,2024-02-03,Eastfield,Bodywork,6.09,93.88,471.46,False
J00152,2024-09-21,2024-09-24,Riverside,Hydraulic,10.2,62.4,694.8,False
J00153,2023-01-30,2023-02-15,Northgate,Transmission,3.1,226.97,419.17,True
J00154,2023-03-15,2023-03-23,Riverside,Bodywork,2.24,196.79,335.67,False
J00155,2024-05-17,2024-05-23,Eastfield,Hydraulic,4.38,139.7,411.26,False
J00156,2024-06-20,2024-07-04,Northgate,Bodywork,13.88,235.14,1095.7,False
J00157,2023-07-28,2023-08-10,Riverside,Hydraulic,5.16,301.67,621.59,False
J00158,2024-08-21,2024-08-28,Riverside,Transmission,1.07,163.13,229.47,True
J00159,2023-11-05,2023-11-24,Northgate,Diagnostics,3.56,439.45,660.17,False
J00160,2024-11-27,2024-12-21,Kingsway,Bodywork,2.06,317.82,445.54,False
J00161,2024-05-18,2024-06-08,Kingsway,Bodywork,4.88,203.65,506.21,True
J00162,2024-10-12,2024-10-21,Kingsway,Transmission,3.72,280.09,510.73,False
J00163,2024-12-01,2024-12-13,Riverside,Bodywork,12.11,211.44,962.26,False
J00164,2024-10-14,2024-10-25,Northgate,Bodywork,3.77,310.55,544.29,False
J00165,2023-11-13,2023-11-23,Riverside,Diagnostics,2.75,386.63,557.13,False
J00166,2023-01-15,2023-01-16,Kingsway,Transmission,7.48,375.27,839.03,False
J00167,2024-04-19,2024-05-08,Northgate,Hydraulic,10.76,94.3,761.42,False
J00168,2023-04-16,2023-04-21,Kingsway,Hydraulic,12.08,88.85,837.81,False
J00169,2023-12-10,2023-12-13,Riverside,Hydraulic,3.36,9.51,217.83,False
J00170,2024-07-06,2024-07-16,Kingsway,Transmission,6.75,78.02,496.52,False
J00171,2024-04-15,2024-05-03,Riverside,Electrical,14.33,258.78,1147.24,False
J00172,2024-07-23,2024-08-02,Eastfield,Hydraulic,6.52,325.23,729.47,True
J00173,2023-04-26,2023-05-06,Riverside,Transmission,3.47,142.83,357.97,False
J00174,2023-01-11,2023-01-26,Kingsway,Transmission,11.48,351.45,1063.21,True
J00175,2024-11-30,2025-01-17,Eastfield,Hydraulic,2.63,121.66,284.72,False
J00176,2024-02-08,2024-02-16,Riverside,Hydraulic,7.58,107.0,576.96,False
J00177,2023-04-15,2023-04-18,Northgate,Bodywork,7.91,120.66,611.08,True
J00178,2023-03-05,2023-03-30,Northgate,Transmission,10.47,379.17,1028.31,True
J00179,2024-04-16,2024-04-23,Kingsway,Hydraulic,10.02,94.87,716.11,False
J00180,2024-03-12,2024-03-21,Northgate,Electrical,4.14,27.87,284.55,False
J00181,2023-02-20,2023-02-28,Eastfield,Diagnostics,2.55,51.28,209.38,False
J00182,2024-05-29,2024-06-21,Riverside,Hydraulic,7.08,44.21,483.17,False
J00183,2023-03-07,2023-03-15,Northgate,Diagnostics,2.35,96.8,242.5,False
J00184,2023-04-25,2023-04-26,Northgate,Electrical,8.44,195.54,718.82,False
J00185,2024-09-07,2024-10-02,Kingsway,Electrical,12.9,116.61,916.41,False
J00186,2024-01-03,2024-01-21,Northgate,Hydraulic,8.25,80.06,591.56,False
J00187,2024-06-12,2024-07-04,Eastfield,Hydraulic,5.61,117.56,465.38,False
J00188,2023-02-22,2023-03-05,Riverside,Electrical,4.54,192.45,473.93,False
J00189,2023-03-13,2023-03-16,Eastfield,Electrical,2.98,133.35,318.11,False
J00190,2023-02-20,2023-02-28,Eastfield,Electrical,3.8,222.02,457.62,False
J00191,2023-07-20,2023-08-04,Riverside,Electrical,5.34,183.4,514.48,True
J00192,2023-10-28,2023-11-02,Kingsway,Transmission,7.34,227.38,682.46,False
J00193,2023-02-23,2023-03-19,Eastfield,Electrical,1.43,83.23,171.89,False
J00194,2023-04-25,2023-05-02,Riverside,Hydraulic,6.23,135.45,521.71,False
J00195,2024-10-20,2024-11-10,Kingsway,Transmission,6.57,104.11,511.45,False
J00196,2023-11-09,2023-11-11,Eastfield,Bodywork,12.21,111.61,868.63,True
J00197,2024-08-19,2024-08-21,Kingsway,Diagnostics,3.8,60.92,296.52,False
J00198,2023-08-18,2023-09-07,Eastfield,Diagnostics,4.33,330.32,598.78,False
J00199,2024-07-01,2024-07-20,Kingsway,Diagnostics,6.23,248.59,634.85,True
J00200,2024-09-26,2024-09-30,Northgate,Bodywork,5.01,307.8,618.42,True
J00201,2024-05-07,2024-05-27,Kingsway,Diagnostics,6.81,289.14,711.36,False
J00202,2023-02-27,2023-03-21,Kingsway,Diagnostics,9.71,48.68,650.7,False
J00203,2024-04-19,2024-05-12,Eastfield,Bodywork,15.4,290.35,1245.15,True
J00204,2024-11-19,2024-11-20,Kingsway,Bodywork,5.94,123.71,491.99,True
J00205,2023-01-27,2023-02-11,Kingsway,Hydraulic,11.11,12.19,701.01,False
J00206,2024-07-12,2024-07-19,Kingsway,Diagnostics,4.61,143.22,429.04,True
J00207,2023-02-13,2023-02-24,Kingsway,Electrical,5.12,219.71,537.15,False
J00208,2024-08-08,2024-08-09,Northgate,Electrical,0.58,273.51,309.47,False
J00209,2023-08-03,2023-08-08,Northgate,Diagnostics,2.99,186.99,372.37,False
J00210,2023-10-04,2023-10-22,Kingsway,Bodywork,5.75,381.73,738.23,False
J00211,2024-02-12,2024-02-27,Eastfield,Diagnostics,6.08,353.4,730.36,False
J00212,2023-08-28,2023-09-05,Riverside,Electrical,11.69,132.11,856.89,True
J00213,2024-08-07,2024-08-15,Eastfield,Bodywork,6.92,92.97,522.01,False
J00214,2024-09-23,2024-09-29,Kingsway,Electrical,6.23,175.98,562.24,True
J00215,2023-11-10,2023-11-18,Northgate,Transmission,2.54,182.41,339.89,False
J00216,2024-06-09,2024-06-20,Kingsway,Electrical,10.33,119.09,759.55,False
J00217,2023-06-28,2023-07-12,Northgate,Diagnostics,5.57,137.18,482.52,False
J00218,2024-05-07,2024-05-26,Eastfield,Diagnostics,1.04,68.94,133.42,True
J00219,2024-03-24,2024-03-26,Northgate,Diagnostics,12.41,29.45,798.87,False
J00220,2024-10-20,2024-10-23,Eastfield,Bodywork,9.89,106.14,719.32,False
J00221,2024-11-01,2024-11-14,Riverside,Diagnostics,0.72,211.39,256.03,True
J00222,2024-06-30,2024-07-20,Eastfield,Electrical,5.97,150.36,520.5,False
J00223,2023-12-10,2023-12-17,Northgate,Transmission,4.28,99.4,364.76,False
J00224,2023-08-13,2023-08-14,Eastfield,Diagnostics,8.83,125.76,673.22,True
J00225,2024-02-02,2024-02-14,Northgate,Diagnostics,4.1,462.72,716.92,True
J00226,2023-02-22,2023-02-23,Northgate,Diagnostics,9.06,199.9,761.62,False
J00227,2023-07-26,2023-07-31,Eastfield,Electrical,2.25,427.44,566.94,False
J00228,2023-11-05,2023-11-24,Kingsway,Bodywork,0.5,401.1,432.1,False
J00229,2024-06-15,2024-07-04,Eastfield,Hydraulic,6.74,143.73,561.61,False
J00230,2024-08-05,2024-09-10,Kingsway,Transmission,5.66,246.96,597.88,False
J00231,2023-04-17,2023-05-09,Northgate,Electrical,9.1,166.45,730.65,False
J00232,2023-01-28,2023-02-17,Kingsway,Diagnostics,2.35,88.42,234.12,False
J00233,2024-04-17,2024-05-05,Eastfield,Diagnostics,6.7,114.3,529.7,False
J00234,2024-06-27,2024-07-13,Riverside,Electrical,2.86,141.18,318.5,False
J00235,2023-06-06,2023-06-29,Northgate,Bodywork,6.11,207.68,586.5,True
J00236,2024-03-07,2024-03-09,Eastfield,Diagnostics,3.14,192.25,386.93,False
J00237,2024-04-21,2024-05-14,Kingsway,Transmission,6.32,108.65,500.49,False
J00238,2024-07-26,2024-08-11,Northgate,Transmission,13.47,26.96,862.1,False
J00239,2023-12-22,2024-01-06,Northgate,Hydraulic,5.71,81.34,435.36,False
J00240,2023-06-21,2023-07-04,Northgate,Hydraulic,4.35,148.47,418.17,True
J00241,2024-08-04,2024-08-23,Kingsway,Bodywork,0.5,256.26,287.26,False
J00242,2023-08-09,2023-08-30,Riverside,Diagnostics,5.05,93.3,406.4,False
J00243,2024-02-05,2024-02-09,Riverside,Electrical,7.52,38.78,505.02,False
J00244,2023-02-03,2023-02-08,Riverside,Bodywork,6.02,239.71,612.95,False
J00245,2024-09-30,2024-10-14,Northgate,Transmission,3.71,305.24,535.26,True
J00246,2024-10-26,2024-11-03,Riverside,Hydraulic,1.23,95.56,171.82,False
J00247,2023-11-16,2023-12-11,Riverside,Transmission,1.69,66.45,171.23,False
J00248,2023-04-10,2023-04-25,Eastfield,Bodywork,3.64,220.58,446.26,False
J00249,2023-01-15,2023-02-03,Kingsway,Bodywork,13.41,389.57,1220.99,False
J00250,2024-06-25,2024-07-20,Kingsway,Transmission,4.33,163.67,432.13,False
J00251,2024-11-17,2024-12-12,Eastfield,Bodywork,6.03,278.78,652.64,True
J00252,2023-06-21,2023-07-15,Kingsway,Transmission,10.89,104.48,779.66,False
J00253,2024-06-26,2024-07-04,Kingsway,Diagnostics,5.88,68.2,432.76,True
J00254,2023-11-02,2023-11-11,Northgate,Diagnostics,9.77,279.67,885.41,True
J00255,2024-08-02,2024-08-06,Kingsway,Diagnostics,5.73,199.85,555.11,False
J00256,2023-06-06,2023-06-21,Northgate,Electrical,7.23,80.31,528.57,False
J00257,2024-08-06,2024-08-08,Northgate,Electrical,2.93,266.13,447.79,True
J00258,2024-04-13,2024-05-01,Riverside,Transmission,2.1,256.48,386.68,True
J00259,2023-04-03,2023-04-04,Kingsway,Hydraulic,14.61,66.17,971.99,False
J00260,2024-09-29,2024-10-17,Eastfield,Hydraulic,7.14,148.57,591.25,True
J00261,2024-09-08,2024-09-23,Kingsway,Transmission,9.21,50.1,621.12,False
J00262,2024-09-17,2024-09-29,Riverside,Diagnostics,2.6,136.1,297.3,False
J00263,2023-03-04,2023-03-22,Riverside,Electrical,7.51,11.63,477.25,True
J00264,2023-10-10,2023-10-20,Eastfield,Diagnostics,8.37,132.2,651.14,True
J00265,2023-08-09,2023-08-14,Northgate,Diagnostics,8.8,36.92,582.52,False
J00266,2024-09-04,2024-09-23,Kingsway,Electrical,4.05,124.9,376.0,True
J00267,2023-04-27,2023-05-21,Kingsway,Transmission,2.6,8.35,169.55,True
J00268,2024-02-29,2024-03-11,Riverside,Transmission,14.26,104.35,988.47,False
J00269,2023-12-09,2023-12-17,Northgate,Bodywork,1.88,242.5,359.06,False
J00270,2023-08-28,2023-09-10,Northgate,Transmission,4.81,122.34,420.56,False
J00271,2023-05-17,2023-05-23,Northgate,Bodywork,6.97,30.65,462.79,False
J00272,2024-11-24,2024-12-02,Kingsway,Hydraulic,3.92,388.51,631.55,True
J00273,2023-06-01,2023-06-19,Kingsway,Bodywork,5.42,283.86,619.9,False
J00274,2023-12-24,2023-12-26,Northgate,Diagnostics,5.39,284.03,618.21,True
J00275,2024-02-14,2024-02-15,Northgate,Bodywork,7.51,163.92,629.54,True
J00276,2023-12-11,2024-01-05,Kingsway,Diagnostics,6.73,257.67,674.93,True
J00277,2023-04-27,2023-05-09,Northgate,Diagnostics,11.44,201.26,910.54,False
J00278,2024-08-25,2024-09-14,Riverside,Transmission,14.05,83.69,954.79,False
J00279,2023-12-08,2023-12-25,Kingsway,Transmission,9.5,153.22,742.22,False
J00280,2024-12-03,2024-12-11,Riverside,Transmission,2.92,51.97,233.01,False
J00281,2024-05-04,2024-05-19,Eastfield,Electrical,7.99,298.89,794.27,True
J00282,2024-10-04,2024-10-19,Kingsway,Diagnostics,8.1,68.16,570.36,False
J00283,2023-01-15,2023-01-21,Eastfield,Hydraulic,5.14,97.77,416.45,False
J00284,2023-09-10,2023-09-14,Kingsway,Bodywork,4.59,266.08,550.66,False
J00285,2024-09-15,2024-10-06,Northgate,Diagnostics,1.47,165.88,257.02,True
J00286,2024-02-26,2024-03-04,Eastfield,Hydraulic,11.38,74.52,780.08,True
J00287,2024-06-16,2024-06-30,Riverside,Diagnostics,7.84,456.14,942.22,False
J00288,2023-07-13,2023-07-22,Kingsway,Transmission,6.34,75.64,468.72,False
J00289,2024-06-14,2024-06-29,Kingsway,Bodywork,5.89,37.6,402.78,False
J00290,2023-01-08,2023-01-09,Riverside,Hydraulic,8.28,169.22,682.58,False
J00291,2024-05-25,2024-06-04,Northgate,Hydraulic,11.36,111.56,815.88,False
J00292,2023-08-23,2023-09-25,Kingsway,Hydraulic,4.68,33.66,323.82,False
J00293,2024-11-07,2024-12-02,Northgate,Bodywork,1.88,301.22,417.78,False
J00294,2023-09-17,2023-09-22,Northgate,Bodywork,2.45,220.1,372.0,False
J00295,2023-04-15,2023-04-17,Eastfield,Electrical,11.91,123.43,861.85,False
J00296,2023-03-26,2023-04-05,Eastfield,Hydraulic,31.64,202.21,2163.89,True
J00297,2023-03-03,2023-03-10,Riverside,Diagnostics,6.0,184.76,556.76,False
J00298,2023-05-26,2023-06-12,Kingsway,Diagnostics,5.68,131.01,483.17,True
J00299,2024-06-05,2024-06-23,Riverside,Electrical,7.61,38.86,510.68,False
